Click Location X,Click Location Y,Center Location X,Center Location Y
1107.504,548.9675,1060.888,540
259.0461,516.9542,219.1117,539.9999
1047.385,703.9596,1028.85,701.067
237.069,346.0016,251.1499,378.933
934.3807,827.0308,937.613,837.613
333.201,218.0409,342.387,242.387
830.3085,908.0325,801.067,928.8501
491.1525,149.955,478.933,151.1499
667.2527,946.0425,640,960.8884
644.2832,111.0225,640,119.1116
517.2415,904.988,478.933,928.8501
829.316,124.0307,801.067,151.1499
364.1107,821.9565,342.387,837.613
918.3587,229.0193,937.6129,242.3869
256.0685,697.0403,251.1499,701.067
1071.49,362.9769,1028.85,378.933